# Time t, Energy
0.000000e+00,3.141593e+00
4.040404e-03,3.141598e+00
8.080808e-03,3.141602e+00
1.212121e-02,3.141607e+00
1.616162e-02,3.141611e+00
2.020202e-02,3.141615e+00
2.424242e-02,3.141619e+00
2.828283e-02,3.141623e+00
3.232323e-02,3.141626e+00
3.636364e-02,3.141630e+00
4.040404e-02,3.141634e+00
4.444444e-02,3.141637e+00
4.848485e-02,3.141641e+00
5.252525e-02,3.141644e+00
5.656566e-02,3.141648e+00
6.060606e-02,3.141651e+00
6.464646e-02,3.141655e+00
6.868687e-02,3.141658e+00
7.272727e-02,3.141662e+00
7.676768e-02,3.141665e+00
8.080808e-02,3.141669e+00
8.484848e-02,3.141672e+00
8.888889e-02,3.141675e+00
9.292929e-02,3.141678e+00
9.696970e-02,3.141681e+00
1.010101e-01,3.141683e+00
1.050505e-01,3.141686e+00
1.090909e-01,3.141688e+00
1.131313e-01,3.141690e+00
1.171717e-01,3.141692e+00
1.212121e-01,3.141694e+00
1.252525e-01,3.141695e+00
1.292929e-01,3.141697e+00
1.333333e-01,3.141698e+00
1.373737e-01,3.141699e+00
1.414141e-01,3.141699e+00
1.454545e-01,3.141700e+00
1.494949e-01,3.141700e+00
1.535354e-01,3.141700e+00
1.575758e-01,3.141699e+00
1.616162e-01,3.141699e+00
1.656566e-01,3.141697e+00
1.696970e-01,3.141696e+00
1.737374e-01,3.141695e+00
1.777778e-01,3.141693e+00
1.818182e-01,3.141691e+00
1.858586e-01,3.141689e+00
1.898990e-01,3.141686e+00
1.939394e-01,3.141683e+00
1.979798e-01,3.141680e+00
2.020202e-01,3.141677e+00
2.060606e-01,3.141674e+00
2.101010e-01,3.141670e+00
2.141414e-01,3.141666e+00
2.181818e-01,3.141663e+00
2.222222e-01,3.141659e+00
2.262626e-01,3.141656e+00
2.303030e-01,3.141653e+00
2.343434e-01,3.141650e+00
2.383838e-01,3.141647e+00
2.424242e-01,3.141644e+00
2.464646e-01,3.141642e+00
2.505051e-01,3.141640e+00
2.545455e-01,3.141638e+00
2.585859e-01,3.141637e+00
2.626263e-01,3.141636e+00
2.666667e-01,3.141635e+00
2.707071e-01,3.141635e+00
2.747475e-01,3.141634e+00
2.787879e-01,3.141635e+00
2.828283e-01,3.141635e+00
2.868687e-01,3.141635e+00
2.909091e-01,3.141635e+00
2.949495e-01,3.141635e+00
2.989899e-01,3.141635e+00
3.030303e-01,3.141634e+00
3.070707e-01,3.141634e+00
3.111111e-01,3.141632e+00
3.151515e-01,3.141630e+00
3.191919e-01,3.141627e+00
3.232323e-01,3.141624e+00
3.272727e-01,3.141621e+00
3.313131e-01,3.141617e+00
3.353535e-01,3.141613e+00
3.393939e-01,3.141608e+00
3.434343e-01,3.141605e+00
3.474747e-01,3.141601e+00
3.515152e-01,3.141598e+00
3.555556e-01,3.141596e+00
3.595960e-01,3.141595e+00
3.636364e-01,3.141595e+00
3.676768e-01,3.141597e+00
3.717172e-01,3.141600e+00
3.757576e-01,3.141604e+00
3.797980e-01,3.141608e+00
3.838384e-01,3.141612e+00
3.878788e-01,3.141612e+00
3.919192e-01,3.141605e+00
3.959596e-01,3.141597e+00
4.000000e-01,3.141602e+00
