0.00000e+00 6.12330e-01 2.31980e-01 9.65695e+00 4.64e-02 3.90e-05 2.19e-01 1.16e-06 8.95e-01 2.12e-05 1.12e-08 2.05e-01 9.66e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
1.00000e+01 3.43128e-02 1.78715e-01 1.30887e-03 2.99e-02 1.60e-04 4.60e-03 9.84e-06 8.59e-01 1.03e-06 8.36e-07 2.93e-03 1.31e-03 9.96e-01 9.51e-01 9.63e-01 9.51e-01 1.00e+00 9.51e-01 9.51e-01 9.60e-01 1.00e+00 9.96e-01 9.51e-01 9.63e-01 9.51e-01 1.00e+00 9.51e-01 9.51e-01 9.60e-01 1.00e+00
2.00000e+01 1.24927e-02 1.74373e-01 4.65163e-04 6.90e-04 6.19e-05 3.99e-05 2.37e-05 8.71e-01 1.94e-06 5.51e-06 3.53e-05 4.65e-04 9.64e-01 9.05e-01 9.14e-01 9.05e-01 9.92e-01 9.05e-01 9.05e-01 9.12e-01 9.73e-01 9.64e-01 9.05e-01 9.14e-01 9.05e-01 9.92e-01 9.05e-01 9.05e-01 9.12e-01 9.73e-01
3.00000e+01 -1.06751e-02 1.66382e-01 8.21278e-04 9.92e-04 7.35e-05 1.33e-05 1.23e-04 8.31e-01 5.58e-06 3.93e-05 3.95e-05 8.21e-04 9.28e-01 8.61e-01 8.68e-01 8.61e-01 9.76e-01 8.61e-01 8.61e-01 8.66e-01 9.40e-01 9.28e-01 8.61e-01 8.68e-01 8.61e-01 9.76e-01 8.61e-01 8.61e-01 8.66e-01 9.40e-01
4.00000e+01 -3.32448e-02 1.61670e-01 3.62418e-04 1.13e-03 1.05e-04 1.54e-04 1.57e-03 8.05e-01 2.27e-05 4.17e-04 4.83e-04 3.62e-04 8.91e-01 8.19e-01 8.25e-01 8.19e-01 9.57e-01 8.19e-01 8.19e-01 8.23e-01 9.05e-01 8.91e-01 8.19e-01 8.25e-01 8.19e-01 9.57e-01 8.19e-01 8.19e-01 8.23e-01 9.05e-01
5.00000e+01 -5.75680e-02 1.51485e-01 5.45444e-04 1.51e-03 6.89e-05 6.46e-04 4.62e-03 7.51e-01 7.73e-06 1.75e-03 1.07e-03 5.45e-04 8.54e-01 7.79e-01 7.85e-01 7.79e-01 9.33e-01 7.79e-01 7.79e-01 7.83e-01 8.70e-01 8.54e-01 7.79e-01 7.85e-01 7.79e-01 9.33e-01 7.79e-01 7.79e-01 7.83e-01 8.70e-01
6.00000e+01 -8.47899e-02 1.33068e-01 7.79846e-04 1.61e-03 2.08e-04 3.42e-03 1.12e-03 6.59e-01 1.42e-04 3.42e-03 1.47e-03 7.80e-04 8.18e-01 7.41e-01 7.46e-01 7.41e-01 9.02e-01 7.41e-01 7.41e-01 7.44e-01 8.35e-01 8.18e-01 7.41e-01 7.46e-01 7.41e-01 9.02e-01 7.41e-01 7.41e-01 7.44e-01 8.35e-01
7.00000e+01 -1.27025e-01 6.95972e-02 6.39649e-04 4.42e-03 3.32e-03 2.11e-02 4.00e-03 3.15e-01 1.13e-03 6.76e-04 7.57e-03 6.40e-04 7.82e-01 7.05e-01 7.10e-01 7.05e-01 8.53e-01 7.05e-01 7.05e-01 7.08e-01 8.00e-01 7.82e-01 7.05e-01 7.10e-01 7.05e-01 8.53e-01 7.05e-01 7.05e-01 7.08e-01 8.00e-01
8.00000e+01 -1.63926e-01 3.44068e-02 3.32443e-04 3.18e-03 1.06e-03 2.94e-02 9.80e-03 1.29e-01 2.76e-04 6.96e-03 3.74e-03 3.32e-04 7.48e-01 6.70e-01 6.76e-01 6.71e-01 7.76e-01 6.70e-01 6.71e-01 6.73e-01 7.66e-01 7.48e-01 6.70e-01 6.76e-01 6.71e-01 7.76e-01 6.70e-01 6.71e-01 6.73e-01 7.66e-01
9.00000e+01 -1.91876e-01 2.80524e-02 1.41368e-04 2.27e-03 6.89e-04 3.48e-02 7.56e-03 9.49e-02 5.02e-05 8.24e-03 2.41e-03 1.41e-04 7.14e-01 6.38e-01 6.44e-01 6.38e-01 7.09e-01 6.38e-01 6.38e-01 6.40e-01 7.33e-01 7.14e-01 6.38e-01 6.44e-01 6.38e-01 7.09e-01 6.38e-01 6.38e-01 6.40e-01 7.33e-01
1.00000e+02 -2.20467e-01 2.11015e-02 5.32144e-04 1.12e-03 6.40e-04 3.68e-02 4.77e-03 6.22e-02 4.07e-06 3.55e-03 2.90e-03 5.32e-04 6.82e-01 6.06e-01 6.13e-01 6.07e-01 6.54e-01 6.07e-01 6.07e-01 6.09e-01 7.01e-01 6.82e-01 6.06e-01 6.13e-01 6.07e-01 6.54e-01 6.07e-01 6.07e-01 6.09e-01 7.01e-01
1.10000e+02 -2.48686e-01 1.52667e-02 4.27178e-04 4.28e-04 6.17e-04 3.75e-02 2.52e-03 3.52e-02 2.16e-05 6.27e-04 3.93e-03 4.27e-04 6.50e-01 5.77e-01 5.85e-01 5.78e-01 6.05e-01 5.77e-01 5.78e-01 5.79e-01 6.70e-01 6.50e-01 5.77e-01 5.85e-01 5.78e-01 6.05e-01 5.77e-01 5.78e-01 5.79e-01 6.70e-01
1.20000e+02 -2.74808e-01 1.37946e-02 3.44310e-04 2.96e-04 6.43e-04 3.66e-02 1.84e-03 2.96e-02 1.68e-05 7.84e-04 3.53e-03 3.44e-04 6.20e-01 5.49e-01 5.57e-01 5.50e-01 5.62e-01 5.49e-01 5.49e-01 5.51e-01 6.40e-01 6.20e-01 5.49e-01 5.57e-01 5.50e-01 5.62e-01 5.49e-01 5.49e-01 5.51e-01 6.40e-01
