# Time t, Angular Momentum
0.000000e+00  9.770887e-02  9.770887e-02  0.000000e+00
4.040404e-03  9.770846e-02  9.770863e-02  -1.617439e-07
8.080808e-03  9.770853e-02  9.770847e-02  5.706792e-08
1.212121e-02  9.770836e-02  9.770847e-02  -1.120793e-07
1.616162e-02  9.770822e-02  9.770849e-02  -2.672870e-07
2.020202e-02  9.770817e-02  9.770859e-02  -4.211960e-07
2.424242e-02  9.770792e-02  9.770887e-02  -9.528011e-07
2.828283e-02  9.770806e-02  9.770917e-02  -1.113847e-06
3.232323e-02  9.770835e-02  9.770963e-02  -1.275029e-06
3.636364e-02  9.770873e-02  9.771015e-02  -1.418280e-06
4.040404e-02  9.770917e-02  9.771074e-02  -1.572140e-06
4.444444e-02  9.770974e-02  9.771146e-02  -1.723731e-06
4.848485e-02  9.771037e-02  9.771224e-02  -1.869245e-06
5.252525e-02  9.771148e-02  9.771313e-02  -1.648387e-06
5.656566e-02  9.771226e-02  9.771407e-02  -1.803030e-06
6.060606e-02  9.771322e-02  9.771518e-02  -1.953756e-06
6.464646e-02  9.771438e-02  9.771629e-02  -1.909208e-06
6.868687e-02  9.771547e-02  9.771754e-02  -2.071997e-06
7.272727e-02  9.771657e-02  9.771880e-02  -2.230214e-06
7.676768e-02  9.771781e-02  9.772019e-02  -2.383767e-06
8.080808e-02  9.771910e-02  9.772164e-02  -2.540297e-06
8.484848e-02  9.772055e-02  9.772325e-02  -2.694057e-06
8.888889e-02  9.772226e-02  9.772491e-02  -2.651405e-06
9.292929e-02  9.772391e-02  9.772671e-02  -2.803132e-06
9.696970e-02  9.772563e-02  9.772859e-02  -2.958031e-06
1.010101e-01  9.772743e-02  9.773053e-02  -3.100962e-06
1.050505e-01  9.772891e-02  9.773252e-02  -3.613119e-06
1.090909e-01  9.773103e-02  9.773460e-02  -3.568247e-06
1.131313e-01  9.773303e-02  9.773675e-02  -3.720029e-06
1.171717e-01  9.773540e-02  9.773909e-02  -3.678232e-06
1.212121e-01  9.773757e-02  9.774140e-02  -3.821562e-06
1.252525e-01  9.773991e-02  9.774389e-02  -3.975936e-06
1.292929e-01  9.774234e-02  9.774646e-02  -4.123238e-06
1.333333e-01  9.774478e-02  9.774905e-02  -4.268973e-06
1.373737e-01  9.774735e-02  9.775177e-02  -4.420735e-06
1.414141e-01  9.775003e-02  9.775460e-02  -4.569840e-06
1.454545e-01  9.775274e-02  9.775746e-02  -4.724965e-06
1.494949e-01  9.775557e-02  9.776044e-02  -4.875576e-06
1.535354e-01  9.775843e-02  9.776345e-02  -5.021782e-06
1.575758e-01  9.776108e-02  9.776662e-02  -5.533509e-06
1.616162e-01  9.776396e-02  9.776981e-02  -5.859412e-06
1.656566e-01  9.776713e-02  9.777313e-02  -6.006522e-06
1.696970e-01  9.777078e-02  9.777655e-02  -5.775779e-06
1.737374e-01  9.777395e-02  9.778003e-02  -6.090723e-06
1.777778e-01  9.777732e-02  9.778356e-02  -6.234420e-06
1.818182e-01  9.778083e-02  9.778719e-02  -6.364255e-06
1.858586e-01  9.778441e-02  9.779092e-02  -6.506414e-06
1.898990e-01  9.778804e-02  9.779468e-02  -6.641562e-06
1.939394e-01  9.779160e-02  9.779858e-02  -6.971902e-06
1.979798e-01  9.779566e-02  9.780258e-02  -6.923726e-06
2.020202e-01  9.779952e-02  9.780657e-02  -7.058966e-06
2.060606e-01  9.780354e-02  9.781072e-02  -7.185855e-06
2.101010e-01  9.780753e-02  9.781487e-02  -7.330174e-06
2.141414e-01  9.781165e-02  9.781910e-02  -7.453399e-06
2.181818e-01  9.781583e-02  9.782341e-02  -7.579293e-06
2.222222e-01  9.782011e-02  9.782784e-02  -7.725345e-06
2.262626e-01  9.782439e-02  9.783226e-02  -7.862205e-06
2.303030e-01  9.782858e-02  9.783677e-02  -8.184556e-06
2.343434e-01  9.783287e-02  9.784137e-02  -8.498535e-06
2.383838e-01  9.783738e-02  9.784601e-02  -8.627766e-06
2.424242e-01  9.784199e-02  9.785075e-02  -8.761461e-06
2.464646e-01  9.784663e-02  9.785552e-02  -8.890798e-06
2.505051e-01  9.785130e-02  9.786033e-02  -9.028627e-06
2.545455e-01  9.785590e-02  9.786525e-02  -9.340964e-06
2.585859e-01  9.786096e-02  9.787025e-02  -9.290290e-06
2.626263e-01  9.786582e-02  9.787524e-02  -9.417148e-06
2.666667e-01  9.787079e-02  9.788033e-02  -9.539660e-06
2.707071e-01  9.787583e-02  9.788549e-02  -9.663529e-06
2.747475e-01  9.788129e-02  9.789071e-02  -9.426531e-06
2.787879e-01  9.788639e-02  9.789596e-02  -9.574147e-06
2.828283e-01  9.789117e-02  9.790125e-02  -1.008946e-05
2.868687e-01  9.789631e-02  9.790654e-02  -1.022627e-05
2.909091e-01  9.790164e-02  9.791198e-02  -1.034328e-05
2.949495e-01  9.790696e-02  9.791742e-02  -1.046355e-05
2.989899e-01  9.791234e-02  9.792295e-02  -1.060805e-05
3.030303e-01  9.791753e-02  9.792844e-02  -1.090747e-05
3.070707e-01  9.792319e-02  9.793402e-02  -1.083332e-05
3.111111e-01  9.792891e-02  9.793968e-02  -1.077306e-05
3.151515e-01  9.793461e-02  9.794532e-02  -1.070956e-05
3.191919e-01  9.793995e-02  9.795097e-02  -1.102296e-05
3.232323e-01  9.794562e-02  9.795679e-02  -1.117285e-05
3.272727e-01  9.795108e-02  9.796257e-02  -1.148679e-05
3.313131e-01  9.795696e-02  9.796838e-02  -1.142345e-05
3.353535e-01  9.796272e-02  9.797428e-02  -1.155357e-05
3.393939e-01  9.796909e-02  9.798022e-02  -1.113286e-05
3.434343e-01  9.797494e-02  9.798623e-02  -1.128831e-05
3.474747e-01  9.798113e-02  9.799218e-02  -1.105294e-05
3.515152e-01  9.798685e-02  9.799819e-02  -1.135090e-05
3.555556e-01  9.799280e-02  9.800426e-02  -1.146005e-05
3.595960e-01  9.799858e-02  9.801036e-02  -1.178155e-05
3.636364e-01  9.800458e-02  9.801648e-02  -1.189864e-05
3.676768e-01  9.801059e-02  9.802261e-02  -1.201926e-05
3.717172e-01  9.801666e-02  9.802880e-02  -1.214599e-05
3.757576e-01  9.802274e-02  9.803502e-02  -1.228131e-05
3.797980e-01  9.802932e-02  9.804136e-02  -1.203627e-05
3.838384e-01  9.803557e-02  9.804770e-02  -1.212920e-05
3.878788e-01  9.804182e-02  9.805404e-02  -1.222160e-05
3.919192e-01  9.804810e-02  9.806045e-02  -1.235044e-05
3.959596e-01  9.805436e-02  9.806686e-02  -1.249236e-05
4.000000e-01  9.806085e-02  9.807330e-02  -1.245586e-05
