0.00000e+00 1.53959e-01 4.34924e-01 6.14846e-01 5.64e-01 2.04e-03 3.24e-01 2.58e-06 1.28e+00 8.09e-08 3.55e-06 9.97e-01 9.96e-01 9.99e-01 9.96e-01 1.00e+00 9.96e-01 9.96e-01 9.97e-01 9.96e-01 9.99e-01 9.96e-01 1.00e+00 9.96e-01 9.96e-01
1.00000e+01 3.49573e-02 1.62310e-01 5.62879e-01 3.87e-03 4.53e-05 2.60e-03 2.94e-06 8.05e-01 5.55e-07 9.54e-08 9.48e-01 9.47e-01 9.51e-01 9.47e-01 9.86e-01 9.47e-01 9.47e-01 9.48e-01 9.47e-01 9.51e-01 9.47e-01 9.86e-01 9.47e-01 9.47e-01
2.00000e+01 1.04992e-02 1.56226e-01 7.62400e-01 1.17e-03 1.65e-05 2.16e-03 8.42e-05 7.78e-01 2.23e-05 2.63e-06 8.99e-01 9.01e-01 9.03e-01 9.01e-01 9.49e-01 9.01e-01 9.01e-01 8.99e-01 9.01e-01 9.03e-01 9.01e-01 9.49e-01 9.01e-01 9.01e-01
3.00000e+01 -6.15268e-02 3.27090e-02 1.31153e+00 4.40e-03 4.90e-04 1.69e-02 2.47e-02 1.17e-01 5.44e-04 5.80e-04 8.54e-01 8.57e-01 8.58e-01 8.58e-01 8.83e-01 8.57e-01 8.58e-01 8.54e-01 8.57e-01 8.58e-01 8.58e-01 8.83e-01 8.57e-01 8.58e-01
4.00000e+01 -9.77574e-02 1.17415e-02 2.88070e+00 2.54e-04 3.26e-05 1.84e-02 8.63e-03 3.14e-02 1.47e-05 1.79e-03 8.12e-01 8.15e-01 8.16e-01 8.16e-01 8.04e-01 8.15e-01 8.16e-01 8.12e-01 8.15e-01 8.16e-01 8.16e-01 8.04e-01 8.15e-01 8.16e-01
5.00000e+01 -1.26833e-01 6.56153e-03 6.07159e+00 1.53e-04 4.21e-05 1.35e-02 6.60e-03 1.25e-02 8.48e-06 2.43e-03 7.72e-01 7.76e-01 7.77e-01 7.77e-01 7.44e-01 7.76e-01 7.76e-01 7.72e-01 7.76e-01 7.77e-01 7.77e-01 7.44e-01 7.76e-01 7.76e-01
6.00000e+01 -1.54149e-01 4.73305e-03 1.16447e+01 1.45e-04 6.67e-05 1.12e-02 3.50e-03 8.76e-03 2.49e-05 7.42e-04 7.34e-01 7.38e-01 7.39e-01 7.39e-01 6.94e-01 7.38e-01 7.38e-01 7.34e-01 7.38e-01 7.39e-01 7.39e-01 6.94e-01 7.38e-01 7.38e-01
7.00000e+01 -1.80460e-01 4.15548e-03 1.55049e+01 1.26e-04 7.66e-05 1.06e-02 1.91e-03 8.08e-03 3.07e-05 3.03e-04 6.98e-01 7.02e-01 7.02e-01 7.02e-01 6.51e-01 7.02e-01 7.02e-01 6.98e-01 7.02e-01 7.02e-01 7.02e-01 6.51e-01 7.02e-01 7.02e-01
8.00000e+01 -2.06641e-01 3.42127e-03 9.96278e+00 1.06e-04 5.94e-05 8.87e-03 1.16e-03 6.91e-03 1.57e-05 1.58e-04 6.63e-01 6.68e-01 6.68e-01 6.68e-01 6.12e-01 6.68e-01 6.68e-01 6.63e-01 6.68e-01 6.68e-01 6.68e-01 6.12e-01 6.68e-01 6.68e-01
9.00000e+01 -2.32624e-01 2.80386e-03 5.02382e+00 1.05e-04 4.15e-05 7.38e-03 7.81e-04 5.71e-03 4.83e-06 1.96e-04 6.31e-01 6.35e-01 6.35e-01 6.35e-01 5.77e-01 6.35e-01 6.35e-01 6.31e-01 6.35e-01 6.35e-01 6.35e-01 5.77e-01 6.35e-01 6.35e-01
1.00000e+02 -2.57686e-01 3.55399e-03 2.90650e+00 1.16e-04 3.83e-05 9.80e-03 7.10e-04 7.11e-03 1.75e-06 2.28e-04 6.00e-01 6.04e-01 6.04e-01 6.04e-01 5.45e-01 6.04e-01 6.04e-01 6.00e-01 6.04e-01 6.04e-01 6.04e-01 5.45e-01 6.04e-01 6.04e-01
1.10000e+02 -2.83776e-01 2.53051e-03 3.35191e+00 1.14e-04 3.95e-05 6.90e-03 6.31e-04 4.97e-03 5.94e-07 1.27e-04 5.70e-01 5.75e-01 5.75e-01 5.75e-01 5.15e-01 5.75e-01 5.75e-01 5.70e-01 5.75e-01 5.75e-01 5.75e-01 5.15e-01 5.75e-01 5.75e-01
1.20000e+02 -3.09213e-01 2.38005e-03 3.22071e+00 1.08e-04 3.77e-05 6.18e-03 6.32e-04 4.94e-03 3.86e-06 2.21e-04 5.42e-01 5.47e-01 5.47e-01 5.47e-01 4.87e-01 5.47e-01 5.46e-01 5.42e-01 5.47e-01 5.47e-01 5.47e-01 4.87e-01 5.47e-01 5.46e-01
1.30000e+02 -3.34668e-01 2.21502e-03 3.61121e+00 1.02e-04 4.46e-05 5.60e-03 6.14e-04 4.72e-03 1.60e-06 1.20e-04 5.16e-01 5.20e-01 5.20e-01 5.20e-01 4.61e-01 5.20e-01 5.20e-01 5.16e-01 5.20e-01 5.20e-01 5.20e-01 4.61e-01 5.20e-01 5.20e-01
1.40000e+02 -3.59278e-01 3.04316e-03 2.25347e+00 9.60e-05 6.47e-05 8.69e-03 5.99e-04 5.76e-03 4.35e-06 2.24e-04 4.90e-01 4.95e-01 4.94e-01 4.94e-01 4.36e-01 4.95e-01 4.94e-01 4.90e-01 4.95e-01 4.94e-01 4.94e-01 4.36e-01 4.95e-01 4.94e-01
1.50000e+02 -3.85041e-01 2.36237e-03 2.52175e+00 8.90e-05 6.87e-05 6.53e-03 6.19e-04 4.50e-03 4.15e-06 1.18e-04 4.66e-01 4.70e-01 4.70e-01 4.70e-01 4.13e-01 4.70e-01 4.70e-01 4.66e-01 4.70e-01 4.70e-01 4.70e-01 4.13e-01 4.70e-01 4.70e-01
1.60000e+02 -4.10031e-01 2.58689e-03 2.29215e+00 9.40e-05 8.52e-05 7.50e-03 5.78e-04 4.68e-03 1.11e-06 1.29e-04 4.44e-01 4.48e-01 4.47e-01 4.47e-01 3.92e-01 4.48e-01 4.47e-01 4.44e-01 4.48e-01 4.47e-01 4.47e-01 3.92e-01 4.48e-01 4.47e-01
1.70000e+02 -4.35193e-01 2.54038e-03 4.25650e+00 1.48e-04 7.78e-05 6.56e-03 5.87e-04 5.33e-03 4.71e-06 1.77e-04 4.22e-01 4.26e-01 4.25e-01 4.25e-01 3.72e-01 4.26e-01 4.26e-01 4.22e-01 4.26e-01 4.25e-01 4.25e-01 3.72e-01 4.26e-01 4.26e-01
1.80000e+02 -4.60028e-01 2.84105e-03 4.81006e+00 1.43e-04 8.46e-05 7.54e-03 5.51e-04 5.89e-03 1.44e-06 1.57e-04 4.01e-01 4.05e-01 4.05e-01 4.05e-01 3.52e-01 4.05e-01 4.05e-01 4.01e-01 4.05e-01 4.05e-01 4.05e-01 3.52e-01 4.05e-01 4.05e-01
1.90000e+02 -4.85438e-01 2.43430e-03 4.42948e+00 3.69e-05 1.23e-04 6.23e-03 4.87e-04 5.30e-03 4.45e-06 1.57e-04 3.82e-01 3.85e-01 3.85e-01 3.85e-01 3.34e-01 3.85e-01 3.85e-01 3.82e-01 3.85e-01 3.85e-01 3.85e-01 3.34e-01 3.85e-01 3.85e-01
2.00000e+02 -5.11238e-01 1.75313e-03 3.18712e+00 1.40e-04 9.52e-05 4.64e-03 5.21e-04 3.37e-03 2.62e-06 1.36e-04 3.63e-01 3.66e-01 3.66e-01 3.66e-01 3.17e-01 3.66e-01 3.66e-01 3.63e-01 3.66e-01 3.66e-01 3.66e-01 3.17e-01 3.66e-01 3.66e-01
2.10000e+02 -5.33935e-01 3.94016e-03 5.34853e+00 7.54e-04 9.58e-05 1.09e-02 5.17e-04 7.43e-03 7.66e-06 2.66e-04 3.45e-01 3.49e-01 3.48e-01 3.48e-01 3.01e-01 3.49e-01 3.48e-01 3.45e-01 3.49e-01 3.48e-01 3.48e-01 3.01e-01 3.49e-01 3.48e-01
2.20000e+02 -5.61347e-01 1.77055e-03 3.67033e+00 4.54e-05 1.01e-04 4.75e-03 4.35e-04 3.52e-03 2.55e-06 2.35e-04 3.28e-01 3.32e-01 3.31e-01 3.31e-01 2.86e-01 3.32e-01 3.31e-01 3.28e-01 3.32e-01 3.31e-01 3.31e-01 2.86e-01 3.32e-01 3.31e-01
2.30000e+02 -5.83312e-01 4.30132e-03 5.77879e+00 1.21e-04 8.90e-05 1.16e-02 3.95e-04 9.34e-03 2.21e-06 1.90e-04 3.12e-01 3.15e-01 3.15e-01 3.15e-01 2.71e-01 3.15e-01 3.15e-01 3.12e-01 3.15e-01 3.15e-01 3.15e-01 2.71e-01 3.15e-01 3.15e-01
2.40000e+02 -6.11753e-01 1.47593e-03 2.95227e+00 3.80e-05 9.88e-05 4.17e-03 3.71e-04 2.71e-03 8.46e-07 2.48e-04 2.97e-01 3.00e-01 3.00e-01 3.00e-01 2.58e-01 3.00e-01 3.00e-01 2.97e-01 3.00e-01 3.00e-01 3.00e-01 2.58e-01 3.00e-01 3.00e-01
2.50000e+02 -6.36770e-01 1.48571e-03 2.98067e+00 3.86e-05 9.91e-05 4.11e-03 2.83e-04 2.90e-03 1.04e-06 2.19e-04 2.83e-01 2.85e-01 2.85e-01 2.85e-01 2.45e-01 2.85e-01 2.85e-01 2.83e-01 2.85e-01 2.85e-01 2.85e-01 2.45e-01 2.85e-01 2.85e-01
2.60000e+02 -6.61421e-01 1.73946e-03 3.58374e+00 4.06e-04 9.09e-05 5.40e-03 2.28e-04 2.57e-03 1.99e-07 3.65e-04 2.69e-01 2.71e-01 2.71e-01 2.71e-01 2.32e-01 2.71e-01 2.71e-01 2.69e-01 2.71e-01 2.71e-01 2.71e-01 2.32e-01 2.71e-01 2.71e-01
2.70000e+02 -6.85698e-01 2.13399e-03 3.07145e+00 4.03e-04 8.01e-05 4.17e-03 1.85e-04 5.83e-03 1.51e-05 2.30e-04 2.56e-01 2.58e-01 2.58e-01 2.58e-01 2.21e-01 2.58e-01 2.58e-01 2.56e-01 2.58e-01 2.58e-01 2.58e-01 2.21e-01 2.58e-01 2.58e-01
2.80000e+02 -7.11951e-01 1.32106e-03 2.70088e+00 3.75e-05 9.01e-05 4.17e-03 2.13e-04 2.10e-03 4.40e-07 2.42e-04 2.43e-01 2.46e-01 2.46e-01 2.45e-01 2.10e-01 2.46e-01 2.45e-01 2.43e-01 2.46e-01 2.46e-01 2.45e-01 2.10e-01 2.46e-01 2.45e-01
2.90000e+02 -7.33456e-01 3.53148e-03 1.80425e+00 7.04e-03 8.40e-05 6.44e-03 2.09e-04 3.88e-03 5.90e-06 2.59e-04 2.31e-01 2.34e-01 2.34e-01 2.33e-01 1.99e-01 2.34e-01 2.33e-01 2.31e-01 2.34e-01 2.34e-01 2.33e-01 1.99e-01 2.34e-01 2.33e-01
3.00000e+02 -7.61900e-01 1.30323e-03 2.52862e+00 6.34e-05 8.32e-05 3.45e-03 1.46e-04 2.77e-03 1.03e-06 2.42e-04 2.20e-01 2.22e-01 2.22e-01 2.22e-01 1.89e-01 2.22e-01 2.22e-01 2.20e-01 2.22e-01 2.22e-01 2.22e-01 1.89e-01 2.22e-01 2.22e-01
3.10000e+02 -7.86417e-01 1.54948e-03 2.11954e+00 3.99e-05 1.08e-04 5.14e-03 2.38e-04 2.22e-03 2.58e-06 1.77e-04 2.09e-01 2.11e-01 2.12e-01 2.11e-01 1.80e-01 2.11e-01 2.11e-01 2.09e-01 2.11e-01 2.12e-01 2.11e-01 1.80e-01 2.11e-01 2.11e-01
3.20000e+02 -8.11122e-01 1.65003e-03 1.87253e+00 4.16e-05 8.35e-05 5.96e-03 1.51e-04 2.01e-03 4.33e-07 3.46e-04 1.99e-01 2.01e-01 2.01e-01 2.01e-01 1.71e-01 2.01e-01 2.01e-01 1.99e-01 2.01e-01 2.01e-01 2.01e-01 1.71e-01 2.01e-01 2.01e-01
3.30000e+02 -8.37164e-01 1.05825e-03 2.58745e+00 1.41e-04 7.43e-05 3.14e-03 1.11e-04 1.82e-03 8.35e-07 2.78e-04 1.89e-01 1.91e-01 1.92e-01 1.91e-01 1.63e-01 1.91e-01 1.91e-01 1.89e-01 1.91e-01 1.92e-01 1.91e-01 1.63e-01 1.91e-01 1.91e-01
3.40000e+02 -8.61327e-01 1.43270e-03 2.23292e+00 5.03e-04 8.51e-05 3.96e-03 1.30e-04 2.49e-03 9.81e-07 2.36e-04 1.80e-01 1.82e-01 1.82e-01 1.82e-01 1.55e-01 1.82e-01 1.82e-01 1.80e-01 1.82e-01 1.82e-01 1.82e-01 1.55e-01 1.82e-01 1.82e-01
3.50000e+02 -8.69913e-01 9.13474e-03 7.79702e-01 6.00e-04 9.81e-05 3.79e-02 1.66e-04 6.89e-03 1.80e-06 5.09e-04 1.71e-01 1.73e-01 1.73e-01 1.73e-01 1.47e-01 1.73e-01 1.73e-01 1.71e-01 1.73e-01 1.73e-01 1.73e-01 1.47e-01 1.73e-01 1.73e-01
3.60000e+02 -9.12129e-01 9.51522e-04 2.41260e+00 7.78e-05 8.35e-05 3.00e-03 1.10e-04 1.49e-03 1.46e-06 2.59e-04 1.63e-01 1.65e-01 1.65e-01 1.64e-01 1.40e-01 1.65e-01 1.65e-01 1.63e-01 1.65e-01 1.65e-01 1.64e-01 1.40e-01 1.65e-01 1.65e-01
3.70000e+02 -9.36550e-01 1.12723e-03 2.13533e+00 7.59e-05 7.62e-05 2.85e-03 9.23e-05 2.54e-03 1.54e-06 3.45e-04 1.55e-01 1.57e-01 1.57e-01 1.56e-01 1.33e-01 1.57e-01 1.57e-01 1.55e-01 1.57e-01 1.57e-01 1.56e-01 1.33e-01 1.57e-01 1.57e-01
3.80000e+02 -9.61524e-01 1.13044e-03 1.96184e+00 3.81e-04 7.69e-05 3.22e-03 9.95e-05 1.87e-03 1.54e-06 2.71e-04 1.48e-01 1.49e-01 1.49e-01 1.49e-01 1.26e-01 1.49e-01 1.49e-01 1.48e-01 1.49e-01 1.49e-01 1.49e-01 1.26e-01 1.49e-01 1.49e-01
3.90000e+02 -9.87049e-01 8.69761e-04 2.24163e+00 6.22e-05 8.70e-05 2.67e-03 9.76e-05 1.43e-03 4.17e-07 1.99e-04 1.40e-01 1.42e-01 1.42e-01 1.41e-01 1.20e-01 1.42e-01 1.42e-01 1.40e-01 1.42e-01 1.42e-01 1.41e-01 1.20e-01 1.42e-01 1.42e-01
4.00000e+02 -1.01147e+00 1.05134e-03 2.66473e+00 9.73e-05 7.81e-05 3.58e-03 8.56e-05 1.41e-03 4.44e-06 2.69e-04 1.33e-01 1.35e-01 1.35e-01 1.35e-01 1.14e-01 1.35e-01 1.35e-01 1.33e-01 1.35e-01 1.35e-01 1.35e-01 1.14e-01 1.35e-01 1.35e-01
4.10000e+02 -1.03476e+00 1.60918e-03 1.51872e+00 6.47e-05 8.34e-05 5.52e-03 9.08e-05 2.29e-03 1.85e-06 1.60e-04 1.27e-01 1.28e-01 1.29e-01 1.28e-01 1.08e-01 1.28e-01 1.28e-01 1.27e-01 1.28e-01 1.29e-01 1.28e-01 1.08e-01 1.28e-01 1.28e-01
4.20000e+02 -1.06119e+00 8.63327e-04 2.44302e+00 2.96e-04 7.34e-05 2.43e-03 1.12e-04 1.41e-03 5.21e-06 3.60e-04 1.21e-01 1.22e-01 1.23e-01 1.22e-01 1.03e-01 1.22e-01 1.22e-01 1.21e-01 1.22e-01 1.23e-01 1.22e-01 1.03e-01 1.22e-01 1.22e-01
4.30000e+02 -1.08667e+00 7.00142e-04 2.01308e+00 6.79e-05 7.12e-05 2.02e-03 1.05e-04 1.24e-03 1.71e-06 1.85e-04 1.15e-01 1.16e-01 1.17e-01 1.16e-01 9.82e-02 1.16e-01 1.16e-01 1.15e-01 1.16e-01 1.17e-01 1.16e-01 9.82e-02 1.16e-01 1.16e-01
4.40000e+02 -1.11144e+00 7.27485e-04 2.25429e+00 1.44e-04 8.64e-05 2.18e-03 1.44e-04 1.09e-03 2.28e-06 1.92e-04 1.09e-01 1.10e-01 1.11e-01 1.10e-01 9.34e-02 1.10e-01 1.10e-01 1.09e-01 1.10e-01 1.11e-01 1.10e-01 9.34e-02 1.10e-01 1.10e-01
4.50000e+02 -1.13594e+00 8.03945e-04 2.02727e+00 2.70e-04 5.83e-05 1.71e-03 1.03e-04 1.88e-03 8.55e-07 2.54e-04 1.04e-01 1.05e-01 1.06e-01 1.05e-01 8.88e-02 1.05e-01 1.05e-01 1.04e-01 1.05e-01 1.06e-01 1.05e-01 8.88e-02 1.05e-01 1.05e-01
4.60000e+02 -1.15992e+00 1.06432e-03 1.75043e+00 6.67e-04 6.08e-05 2.66e-03 1.49e-04 1.79e-03 7.36e-06 1.81e-04 9.90e-02 1.00e-01 1.00e-01 9.98e-02 8.44e-02 1.00e-01 9.99e-02 9.90e-02 1.00e-01 1.00e-01 9.98e-02 8.44e-02 1.00e-01 9.99e-02
4.70000e+02 -1.18515e+00 9.13418e-04 1.84776e+00 1.62e-04 5.47e-05 1.84e-03 1.16e-04 2.40e-03 1.50e-06 2.51e-04 9.42e-02 9.51e-02 9.55e-02 9.49e-02 8.03e-02 9.51e-02 9.51e-02 9.42e-02 9.51e-02 9.55e-02 9.49e-02 8.03e-02 9.51e-02 9.51e-02
4.80000e+02 -1.21149e+00 5.87649e-04 1.87583e+00 5.27e-05 4.82e-05 1.82e-03 1.12e-04 9.08e-04 2.68e-06 2.10e-04 8.96e-02 9.05e-02 9.09e-02 9.03e-02 7.64e-02 9.04e-02 9.04e-02 8.96e-02 9.05e-02 9.09e-02 9.03e-02 7.64e-02 9.04e-02 9.04e-02
4.90000e+02 -1.23541e+00 6.27781e-04 2.33025e+00 6.33e-05 4.94e-05 1.70e-03 1.51e-04 1.18e-03 7.42e-07 1.98e-04 8.53e-02 8.61e-02 8.66e-02 8.59e-02 7.29e-02 8.61e-02 8.61e-02 8.53e-02 8.61e-02 8.66e-02 8.59e-02 7.29e-02 8.61e-02 8.61e-02
