# Time t, Energy
0.000000e+00,3.154588e+00
4.040404e-03,3.154591e+00
8.080808e-03,3.154595e+00
1.212121e-02,3.154598e+00
1.616162e-02,3.154602e+00
2.020202e-02,3.154605e+00
2.424242e-02,3.154608e+00
2.828283e-02,3.154612e+00
3.232323e-02,3.154614e+00
3.636364e-02,3.154617e+00
4.040404e-02,3.154620e+00
4.444444e-02,3.154623e+00
4.848485e-02,3.154625e+00
5.252525e-02,3.154628e+00
5.656566e-02,3.154630e+00
6.060606e-02,3.154632e+00
6.464646e-02,3.154634e+00
6.868687e-02,3.154636e+00
7.272727e-02,3.154638e+00
7.676768e-02,3.154640e+00
8.080808e-02,3.154642e+00
8.484848e-02,3.154643e+00
8.888889e-02,3.154645e+00
9.292929e-02,3.154646e+00
9.696970e-02,3.154648e+00
1.010101e-01,3.154649e+00
1.050505e-01,3.154650e+00
1.090909e-01,3.154651e+00
1.131313e-01,3.154653e+00
1.171717e-01,3.154654e+00
1.212121e-01,3.154654e+00
1.252525e-01,3.154655e+00
1.292929e-01,3.154656e+00
1.333333e-01,3.154657e+00
1.373737e-01,3.154658e+00
1.414141e-01,3.154659e+00
1.454545e-01,3.154660e+00
1.494949e-01,3.154660e+00
1.535354e-01,3.154661e+00
1.575758e-01,3.154662e+00
1.616162e-01,3.154663e+00
1.656566e-01,3.154664e+00
1.696970e-01,3.154664e+00
1.737374e-01,3.154665e+00
1.777778e-01,3.154665e+00
1.818182e-01,3.154666e+00
1.858586e-01,3.154667e+00
1.898990e-01,3.154668e+00
1.939394e-01,3.154669e+00
1.979798e-01,3.154670e+00
2.020202e-01,3.154671e+00
2.060606e-01,3.154672e+00
2.101010e-01,3.154674e+00
2.141414e-01,3.154675e+00
2.181818e-01,3.154676e+00
2.222222e-01,3.154677e+00
2.262626e-01,3.154678e+00
2.303030e-01,3.154680e+00
2.343434e-01,3.154681e+00
2.383838e-01,3.154683e+00
2.424242e-01,3.154685e+00
2.464646e-01,3.154686e+00
2.505051e-01,3.154688e+00
2.545455e-01,3.154690e+00
2.585859e-01,3.154692e+00
2.626263e-01,3.154694e+00
2.666667e-01,3.154697e+00
2.707071e-01,3.154699e+00
2.747475e-01,3.154701e+00
2.787879e-01,3.154704e+00
2.828283e-01,3.154706e+00
2.868687e-01,3.154709e+00
2.909091e-01,3.154712e+00
2.949495e-01,3.154715e+00
2.989899e-01,3.154718e+00
3.030303e-01,3.154721e+00
3.070707e-01,3.154724e+00
3.111111e-01,3.154727e+00
3.151515e-01,3.154731e+00
3.191919e-01,3.154734e+00
3.232323e-01,3.154738e+00
3.272727e-01,3.154741e+00
3.313131e-01,3.154745e+00
3.353535e-01,3.154749e+00
3.393939e-01,3.154752e+00
3.434343e-01,3.154756e+00
3.474747e-01,3.154761e+00
3.515152e-01,3.154764e+00
3.555556e-01,3.154768e+00
3.595960e-01,3.154773e+00
3.636364e-01,3.154777e+00
3.676768e-01,3.154781e+00
3.717172e-01,3.154785e+00
3.757576e-01,3.154790e+00
3.797980e-01,3.154794e+00
3.838384e-01,3.154799e+00
3.878788e-01,3.154803e+00
3.919192e-01,3.154807e+00
3.959596e-01,3.154812e+00
4.000000e-01,3.154816e+00
